topo,A,B,maxbond,value
BTTN,30.0,2.0,12,0.022940610565516526
BTTN,30.0,2.0,15,0.018738781420227432
BTTN,30.0,2.0,18,0.019398083791240518
BTTN,30.0,2.0,21,0.012860487724570364
BTTN,30.0,2.0,24,0.008224980773373693
BTTN,30.0,2.0,27,0.008556365962806886
BTTN,30.0,2.0,30,0.00890142748727131
BTTN,30.0,5.0,3,0.011088156454363254
BTTN,30.0,5.0,6,0.01509283543136864
BTTN,30.0,5.0,9,0.01884954379126239
BTTN,30.0,5.0,12,0.010996388249271566
BTTN,30.0,5.0,15,0.01455927222283063
BTTN,30.0,5.0,18,0.012921997174899698
BTTN,30.0,5.0,21,0.011918861653011226
BTTN,30.0,5.0,24,0.01263212254733085
BTTN,30.0,5.0,27,0.016046242933599436
BTTN,30.0,5.0,30,0.0100213641061041
BTTN,30.0,10.0,3,0.0058352825349514345
BTTN,30.0,10.0,6,0.005182509760526998
BTTN,30.0,10.0,9,0.006093883934658062
BTTN,30.0,10.0,12,0.010006882061546889
BTTN,30.0,10.0,15,0.006741183635487396
BTTN,30.0,10.0,18,0.008300856626992226
BTTN,30.0,10.0,21,0.006231739487442479
BTTN,30.0,10.0,24,0.0030287388401431807
BTTN,30.0,10.0,27,0.0038991794589836614
BTTN,30.0,10.0,30,0.004990810643955846
CTTN,1.0,0.5,3,0.019771854854398814
CTTN,1.0,0.5,6,0.020369955350412475
CTTN,1.0,0.5,9,0.020718077152370968
CTTN,1.0,0.5,12,0.02219371742517311
CTTN,1.0,0.5,15,0.01937648814495549
CTTN,1.0,0.5,18,0.01994520276458324
CTTN,1.0,0.5,21,0.020789011845293515
CTTN,1.0,0.5,24,0.021856929459121387
CTTN,1.0,0.5,27,0.021074065665028723
CTTN,1.0,0.5,30,0.019448175998371894
CTTN,1.0,2.0,3,0.07859600429496877
CTTN,1.0,2.0,6,0.08328081957203887
CTTN,1.0,2.0,9,0.07545191684326896
CTTN,1.0,2.0,12,0.07248191468123073
CTTN,1.0,2.0,15,0.07472678275628941
CTTN,1.0,2.0,18,0.07361583486943946
CTTN,1.0,2.0,21,0.07775886621577031
CTTN,1.0,2.0,24,0.07943792930373882
CTTN,1.0,2.0,27,0.07729797885002308
CTTN,1.0,2.0,30,0.07971106705521334
CTTN,1.0,5.0,3,0.12331296707563613
CTTN,1.0,5.0,6,0.12220821710173269
CTTN,1.0,5.0,9,0.12230268793905388
CTTN,1.0,5.0,12,0.14364992749233527
CTTN,1.0,5.0,15,0.12496745162492373
CTTN,1.0,5.0,18,0.1222377602133687
CTTN,1.0,5.0,21,0.1252092970190707
CTTN,1.0,5.0,24,0.11981607598434588
CTTN,1.0,5.0,27,0.1254952288583831
CTTN,1.0,5.0,30,0.1259995301087378
CTTN,1.0,10.0,3,0.12443209155284904
CTTN,1.0,10.0,6,0.13077706554473753
CTTN,1.0,10.0,9,0.12807657323818739
CTTN,1.0,10.0,12,0.12403189926277629
CTTN,1.0,10.0,15,0.11942896928721429
CTTN,1.0,10.0,18,0.12258085935421152
CTTN,1.0,10.0,21,0.1315991971131237
CTTN,1.0,10.0,24,0.11385163797669386
CTTN,1.0,10.0,27,0.11980773547292961
CTTN,1.0,10.0,30,0.12037250762671431
CTTN,5.0,0.5,3,0.08504095633168775
CTTN,5.0,0.5,6,0.08212468069431686
CTTN,5.0,0.5,9,0.08700459440571885
CTTN,5.0,0.5,12,0.09714759539346861
CTTN,5.0,0.5,15,0.08814846168811505
CTTN,5.0,0.5,18,0.08926825921267238
CTTN,5.0,0.5,21,0.08939471801699328
CTTN,5.0,0.5,24,0.08728088697496257
CTTN,5.0,0.5,27,0.08329017444031163
CTTN,5.0,0.5,30,0.09620026077238966
CTTN,5.0,2.0,3,0.11725784113977296
CTTN,5.0,2.0,6,0.11036613885201157
CTTN,5.0,2.0,9,0.12802247815287818
CTTN,5.0,2.0,12,0.12423144921932845
CTTN,5.0,2.0,15,0.1230179795329267
CTTN,5.0,2.0,18,0.1216544646808199
CTTN,5.0,2.0,21,0.11956767642657498
CTTN,5.0,2.0,24,0.11992140813171216
CTTN,5.0,2.0,27,0.11588404324641387
CTTN,5.0,2.0,30,0.12400756409060303
CTTN,5.0,5.0,3,0.06193448143279725
CTTN,5.0,5.0,6,0.06708722981031057
CTTN,5.0,5.0,9,0.05883133756402988
CTTN,5.0,5.0,12,0.07039261105250391
CTTN,5.0,5.0,15,0.06648835194386643
CTTN,5.0,5.0,18,0.06287081675070441
CTTN,5.0,5.0,21,0.06551283411610545
CTTN,5.0,5.0,24,0.06747921571076837
CTTN,5.0,5.0,27,0.06948923256558409
CTTN,5.0,5.0,30,0.06320216353533013
CTTN,5.0,10.0,3,0.03993484600861243
CTTN,5.0,10.0,6,0.03703499761584044
CTTN,5.0,10.0,9,0.04319357304907746
CTTN,5.0,10.0,12,0.040835962724553004
CTTN,5.0,10.0,15,0.029900057591591523
CTTN,5.0,10.0,18,0.03921389361234165
CTTN,5.0,10.0,21,0.03629612880280467
CTTN,5.0,10.0,24,0.03476361725674072
CTTN,5.0,10.0,27,0.03436657852961691
CTTN,5.0,10.0,30,0.04803125973465012
CTTN,15.0,0.5,3,0.12986148841249595
CTTN,15.0,0.5,6,0.13296845499898446
CTTN,15.0,0.5,9,0.1447397254694629
CTTN,15.0,0.5,12,0.12852129284257965
CTTN,15.0,0.5,15,0.1452048391913734
CTTN,15.0,0.5,18,0.11982610763458286
CTTN,15.0,0.5,21,0.12579748806770535
CTTN,15.0,0.5,24,0.12842404691488515
CTTN,15.0,0.5,27,0.12704093831041713
CTTN,15.0,0.5,30,0.14128329694242173
CTTN,15.0,2.0,3,0.05961878815699899
CTTN,15.0,2.0,6,0.05039357011086609
CTTN,15.0,2.0,9,0.057628269894793305
CTTN,15.0,2.0,12,0.06635514864350385
CTTN,15.0,2.0,15,0.05499974223322016
CTTN,15.0,2.0,18,0.052499365294203966
CTTN,15.0,2.0,21,0.060785534757184935
CTTN,15.0,2.0,24,0.060983109051278205
CTTN,15.0,2.0,27,0.0540769274860558
CTTN,15.0,2.0,30,0.05204952178278264
CTTN,15.0,5.0,3,0.024493024648484404
CTTN,15.0,5.0,6,0.023629394771280142
CTTN,15.0,5.0,9,0.027716575063278057
CTTN,15.0,5.0,12,0.023837599444291476
CTTN,15.0,5.0,15,0.023397473400320976
CTTN,15.0,5.0,18,0.025253815844172616
CTTN,15.0,5.0,21,0.02197050660425012
CTTN,15.0,5.0,24,0.025664854670955806
CTTN,15.0,5.0,27,0.024737252266359772
CTTN,15.0,5.0,30,0.02811294607916491
CTTN,15.0,10.0,3,0.011787116745234862
CTTN,15.0,10.0,6,0.01029243439573416
CTTN,15.0,10.0,9,0.00976184506517178
CTTN,15.0,10.0,12,0.015367149894418612
