topo,eta,time,maxbond,bytes
QTT_Alt,1.0,50.0,150,4.90508e6
QTT_Alt,1.0,50.0,200,5.864152e6
QTT_Alt,1.0,50.0,250,6.726136e6
QTT_Alt,1.0,50.0,300,7.505464e6
QTT_Alt,1.0,100.0,20,1.523992e6
QTT_Alt,1.0,100.0,50,2.61244e6
QTT_Alt,1.0,100.0,100,4.03596e6
QTT_Alt,1.0,100.0,150,5.234392e6
QTT_Alt,1.0,100.0,200,6.332536e6
QTT_Alt,1.0,100.0,250,7.315224e6
QTT_Alt,1.0,100.0,300,8.232312e6
QTT_Alt,1.0,200.0,20,1.55548e6
QTT_Alt,1.0,200.0,50,2.725272e6
QTT_Alt,1.0,200.0,100,4.290488e6
QTT_Alt,1.0,200.0,150,5.62012e6
QTT_Alt,1.0,200.0,200,6.79436e6
QTT_Alt,1.0,200.0,250,7.903e6
QTT_Alt,1.0,200.0,300,8.9854e6
CTTN_Alt2,0.001,10.0,20,1.244776e6
CTTN_Alt2,0.001,10.0,50,1.813672e6
CTTN_Alt2,0.001,10.0,100,2.417192e6
CTTN_Alt2,0.001,10.0,150,2.888776e6
CTTN_Alt2,0.001,10.0,200,3.2522e6
CTTN_Alt2,0.001,10.0,250,3.594632e6
CTTN_Alt2,0.001,10.0,300,3.889832e6
CTTN_Alt2,0.001,50.0,20,1.353672e6
CTTN_Alt2,0.001,50.0,50,2.104936e6
CTTN_Alt2,0.001,50.0,100,3.010216e6
CTTN_Alt2,0.001,50.0,150,3.766504e6
CTTN_Alt2,0.001,50.0,200,4.473672e6
CTTN_Alt2,0.001,50.0,250,5.112616e6
CTTN_Alt2,0.001,50.0,300,5.703016e6
CTTN_Alt2,0.001,100.0,20,1.393032e6
CTTN_Alt2,0.001,100.0,50,2.21908e6
CTTN_Alt2,0.001,100.0,100,3.260808e6
CTTN_Alt2,0.001,100.0,150,4.160104e6
CTTN_Alt2,0.001,100.0,200,4.978792e6
CTTN_Alt2,0.001,100.0,250,5.76468e6
CTTN_Alt2,0.001,100.0,300,6.484968e6
CTTN_Alt2,0.001,200.0,20,1.423208e6
CTTN_Alt2,0.001,200.0,50,2.342408e6
CTTN_Alt2,0.001,200.0,100,3.512712e6
CTTN_Alt2,0.001,200.0,150,4.541896e6
CTTN_Alt2,0.001,200.0,200,5.500968e6
CTTN_Alt2,0.001,200.0,250,6.416744e6
CTTN_Alt2,0.001,200.0,300,7.268232e6
CTTN_Alt2,0.01,10.0,20,1.269704e6
CTTN_Alt2,0.01,10.0,50,1.854344e6
CTTN_Alt2,0.01,10.0,100,2.465736e6
CTTN_Alt2,0.01,10.0,150,2.946504e6
CTTN_Alt2,0.01,10.0,200,3.332232e6
CTTN_Alt2,0.01,10.0,250,3.664168e6
CTTN_Alt2,0.01,10.0,300,3.98692e6
CTTN_Alt2,0.01,50.0,20,1.370728e6
CTTN_Alt2,0.01,50.0,50,2.137736e6
CTTN_Alt2,0.01,50.0,100,3.053512e6
CTTN_Alt2,0.01,50.0,150,3.825544e6
CTTN_Alt2,0.01,50.0,200,4.536648e6
CTTN_Alt2,0.01,50.0,250,5.178216e6
CTTN_Alt2,0.01,50.0,300,5.781736e6
