topo,eta,time,maxbond,value
CTTN_Alt2,0.1,200.0,300,0.045667467183800325
CTTN_Alt2,0.0,10.0,20,1.2843557097273246
CTTN_Alt2,0.0,10.0,50,0.3265065580212829
CTTN_Alt2,0.0,10.0,100,0.01794058738485287
CTTN_Alt2,0.0,10.0,150,0.0008458298999150319
CTTN_Alt2,0.0,10.0,200,5.72477738336085e-5
CTTN_Alt2,0.0,10.0,250,4.155073669637749e-6
CTTN_Alt2,0.0,10.0,300,4.220869519284163e-7
CTTN_Alt2,0.0,50.0,20,0.7757823734800572
CTTN_Alt2,0.0,50.0,50,0.18824530957180097
CTTN_Alt2,0.0,50.0,100,0.015765392869407698
CTTN_Alt2,0.0,50.0,150,0.0014778173806668528
CTTN_Alt2,0.0,50.0,200,0.0001385943441130939
CTTN_Alt2,0.0,50.0,250,1.3736559818239007e-5
CTTN_Alt2,0.0,50.0,300,1.766692667961188e-6
CTTN_Alt2,0.0,100.0,20,1.168322529311936
CTTN_Alt2,0.0,100.0,50,0.3425675387637508
CTTN_Alt2,0.0,100.0,100,0.05518277443645351
CTTN_Alt2,0.0,100.0,150,0.008372713094736977
CTTN_Alt2,0.0,100.0,200,0.0007652835588127781
CTTN_Alt2,0.0,100.0,250,9.742070412093388e-5
CTTN_Alt2,0.0,100.0,300,1.639428990040798e-5
CTTN_Alt2,0.0,200.0,20,2.6974716022846197
CTTN_Alt2,0.0,200.0,50,1.3563440181226583
CTTN_Alt2,0.0,200.0,100,0.26219907157683947
CTTN_Alt2,0.0,200.0,150,0.051805038777505724
CTTN_Alt2,0.0,200.0,200,0.008573794111547194
CTTN_Alt2,0.0,200.0,250,0.0013713102107416261
CTTN_Alt2,0.0,200.0,300,0.0002841011893746573
CTTN_Alt2,1.0,10.0,20,0.2216894253885583
CTTN_Alt2,1.0,10.0,50,0.06606398005682361
CTTN_Alt2,1.0,10.0,100,0.005104161551200068
CTTN_Alt2,1.0,10.0,150,0.0006051535564001949
CTTN_Alt2,1.0,10.0,200,8.52397912180336e-5
CTTN_Alt2,1.0,10.0,250,1.2661756996282762e-5
CTTN_Alt2,1.0,10.0,300,2.2392348446442006e-6
CTTN_Alt2,1.0,50.0,20,0.11518657080589434
CTTN_Alt2,1.0,50.0,50,0.07046456249152995
CTTN_Alt2,1.0,50.0,100,0.02015936518298716
CTTN_Alt2,1.0,50.0,150,0.0073984587812320115
CTTN_Alt2,1.0,50.0,200,0.002896891092062759
CTTN_Alt2,1.0,50.0,250,0.0012063308582957563
CTTN_Alt2,1.0,50.0,300,0.0005233464367531961
CTTN_Alt2,1.0,100.0,20,0.1036845055438966
CTTN_Alt2,1.0,100.0,50,0.11541664671195956
CTTN_Alt2,1.0,100.0,100,0.0509404332720859
CTTN_Alt2,1.0,100.0,150,0.027289341498489657
CTTN_Alt2,1.0,100.0,200,0.01603357705250754
CTTN_Alt2,1.0,100.0,250,0.006561663459097029
CTTN_Alt2,1.0,100.0,300,0.0032526568178609322
CTTN_Alt2,1.0,200.0,20,0.1087304679843827
CTTN_Alt2,1.0,200.0,50,0.18323370483229215
CTTN_Alt2,1.0,200.0,100,0.16211614889092252
CTTN_Alt2,1.0,200.0,150,0.12293135903922055
CTTN_Alt2,1.0,200.0,200,0.07143945424223738
CTTN_Alt2,1.0,200.0,250,0.04152115201924821
CTTN_Alt2,1.0,200.0,300,0.019422180391395368
